244,9,Anhanguera
245,25,Anhembi
246,25,Anhumas
247,9,Anicuns
248,18,Anísio De Abreu
249,24,Anita Garibaldi
250,24,Anitápolis
251,4,Anori
252,21,Anta Gorda
253,5,Antas
254,16,Antonina
255,6,Antonina Do Norte
256,18,Antônio Almeida
257,5,Antônio Cardoso
258,24,Antônio Carlos
259,13,Antônio Carlos
260,13,Antônio Dias
261,5,Antônio Gonçalves
262,12,Antônio João
263,20,Antônio Martins
264,16,Antônio Olinto
265,21,Antônio Prado
266,13,Antônio Prado De Minas
267,15,Aparecida
268,25,Aparecida
269,9,Aparecida De Goiânia
270,9,Aparecida Do Rio Doce
271,27,Aparecida Do Rio Negro
272,12,Aparecida Do Taboado
273,19,Aperibé
274,8,Apiacá
275,11,Apiacás
276,25,Apiaí
277,10,Apicum-Açu
278,24,Apiúna
279,20,Apodi
280,5,Aporá
281,9,Aporé
282,5,Apuarema
283,16,Apucarana
284,4,Apuí
285,6,Apuiarés
286,26,Aquidabã
287,12,Aquidauana
288,6,Aquiraz
289,24,Arabutã
290,15,Araçagi
291,13,Araçaí
292,26,Aracaju
293,25,Araçariguama
294,5,Araças
295,6,Aracati
296,5,Aracatu
297,25,Araçatuba
298,5,Araci
299,13,Aracitaba
300,6,Aracoiaba
301,17,Araçoiaba
302,25,Araçoiaba Da Serra
303,8,Aracruz
304,9,Araçu
305,13,Araçuaí
306,9,Aragarças
307,9,Aragoiânia
308,27,Aragominas
309,27,Araguacema
310,27,Araguaçu
311,11,Araguaiana
312,27,Araguaína
313,11,Araguainha
314,27,Araguanã
315,10,Araguanã
316,9,Araguapaz
317,13,Araguari
318,27,Araguatins
319,10,Araioses
320,12,Aral Moreira
321,5,Aramari
322,21,Arambaré
323,10,Arame
324,25,Aramina
325,25,Arandu
326,13,Arantina
327,25,Arapeí
328,2,Arapiraca
329,27,Arapoema
330,13,Araponga
331,16,Arapongas
332,13,Araporã
333,16,Arapoti
334,13,Arapuá
335,16,Arapuã
336,11,Araputanga
337,24,Araquari
338,15,Arara
339,24,Araranguá
340,25,Araraquara
341,25,Araras
342,6,Ararendá
343,10,Arari
344,21,Araricá
345,6,Araripe
346,17,Araripina
347,19,Araruama
348,15,Araruna
349,16,Araruna
350,5,Arataca
351,21,Aratiba
352,6,Aratuba
353,5,Aratuípe
354,26,Arauá
355,16,Araucária
356,13,Araújos
357,13,Araxá
358,13,Arceburgo
359,25,Arco-Íris
360,13,Arcos
361,17,Arcoverde
362,13,Areado
363,19,Areal
364,25,Arealva
365,15,Areia
366,26,Areia Branca
367,20,Areia Branca
368,15,Areia De Baraúnas
369,15,Areial
370,25,Areias
371,25,Areiópolis
372,11,Arenápolis
373,9,Arenópolis
374,20,Arês
375,13,Argirita
376,13,Aricanduva
377,13,Arinos
378,11,Aripuanã
379,22,Ariquemes
380,25,Ariranha
381,16,Ariranha Do Ivaí
382,19,Armação Dos Búzios
383,24,Armazém
384,6,Arneiroz
385,18,Aroazes
386,15,Aroeiras
387,18,Aroeiras Do Itaim
388,18,Arraial
389,19,Arraial Do Cabo
390,27,Arraias
391,21,Arroio Do Meio
392,21,Arroio Do Padre
393,21,Arroio Do Sal
394,21,Arroio Do Tigre
395,21,Arroio Dos Ratos
396,21,Arroio Grande
397,24,Arroio Trinta
398,25,Artur Nogueira
399,9,Aruanã
400,25,Arujá
401,24,Arvoredo
402,21,Arvorezinha
403,24,Ascurra
404,25,Aspásia
405,16,Assaí
406,6,Assaré
407,25,Assis
408,1,Assis Brasil
409,16,Assis Chateaubriand
410,15,Assunção
411,18,Assunção Do Piauí
412,13,Astolfo Dutra
413,16,Astorga
414,2,Atalaia
415,16,Atalaia
416,4,Atalaia Do Norte
417,24,Atalanta
418,13,Ataléia
419,25,Atibaia
420,8,Atilio Vivacqua
421,27,Augustinópolis
422,14,Augusto Corrêa
423,13,Augusto De Lima
424,21,Augusto Pestana
425,20,Augusto Severo
426,21,Áurea
427,5,Aurelino Leal
428,25,Auriflama
429,9,Aurilândia
430,24,Aurora
431,6,Aurora
432,14,Aurora Do Pará
433,27,Aurora Do Tocantins
434,4,Autazes
435,25,Avaí
436,25,Avanhandava
437,25,Avaré
438,14,Aveiro
439,18,Avelino Lopes
440,9,Avelinópolis
441,10,Axixá
442,27,Axixá Do Tocantins
443,27,Babaçulândia
444,10,Bacabal
445,10,Bacabeira
446,10,Bacuri
447,10,Bacurituba
448,25,Bady Bassitt
449,13,Baependi
450,21,Bagé
451,14,Bagre
452,15,Baía Da Traição
453,20,Baía Formosa
454,5,Baianópolis
455,14,Baião
456,5,Baixa Grande
457,18,Baixa Grande Do Ribeiro
458,6,Baixio
459,8,Baixo Guandu
460,25,Balbinos
461,13,Baldim
462,9,Baliza
463,24,Balneário Arroio Do Silva
464,24,Balneário Barra Do Sul
465,24,Balneário Camboriú
466,24,Balneário Gaivota
467,24,Balneário Piçarras
468,21,Balneário Pinhal
469,24,Balneário Rincão
470,16,Balsa Nova
471,25,Bálsamo
472,10,Balsas
473,13,Bambuí
474,6,Banabuiú
475,25,Bananal
476,15,Bananeiras
477,13,Bandeira
478,13,Bandeira Do Sul
479,24,Bandeirante
480,16,Bandeirantes
481,12,Bandeirantes
482,27,Bandeirantes Do Tocantins
483,14,Bannach
484,5,Banzaê
485,21,Barão
486,25,Barão De Antonina
487,13,Barão De Cocais
488,21,Barão De Cotegipe
489,10,Barão De Grajaú
490,11,Barão De Melgaço
491,13,Barão De Monte Alto
492,21,Barão Do Triunfo
493,15,Baraúna
494,20,Baraúna
495,13,Barbacena
496,6,Barbalha
497,25,Barbosa
498,16,Barbosa Ferraz
499,14,Barcarena
500,20,Barcelona
501,4,Barcelos
502,25,Bariri
503,5,Barra
504,24,Barra Bonita
505,25,Barra Bonita
506,5,Barra Da Estiva
507,17,Barra De Guabiraba
508,15,Barra De Santa Rosa
509,15,Barra De Santana
510,2,Barra De Santo Antônio
511,8,Barra De São Francisco
512,2,Barra De São Miguel
513,15,Barra De São Miguel
514,11,Barra Do Bugres
515,25,Barra Do Chapéu
516,5,Barra Do Choça
517,10,Barra Do Corda
518,11,Barra Do Garças
519,21,Barra Do Guarita
520,16,Barra Do Jacaré
521,5,Barra Do Mendes
522,27,Barra Do Ouro
523,19,Barra Do Piraí
524,21,Barra Do Quaraí
525,21,Barra Do Ribeiro
526,21,Barra Do Rio Azul
527,5,Barra Do Rocha
528,25,Barra Do Turvo
529,26,Barra Dos Coqueiros
530,21,Barra Funda
531,13,Barra Longa
532,19,Barra Mansa
533,24,Barra Velha
534,21,Barracão
535,18,Barras
536,6,Barreira
537,5,Barreiras
538,18,Barreiras Do Piauí
539,4,Barreirinha
540,10,Barreirinhas
541,17,Barreiros
542,25,Barretos
543,25,Barrinha
544,6,Barro
545,9,Barro Alto
546,5,Barro Alto
547,18,Barro Duro
548,5,Barro Preto
549,5,Barrocas
550,27,Barrolândia
551,6,Barroquinha
552,21,Barros Cassal
553,13,Barroso
554,25,Barueri
555,25,Bastos
556,12,Bataguassu
557,2,Batalha
558,18,Batalha
559,25,Batatais
560,12,Batayporã
561,6,Baturité
562,25,Bauru
563,15,Bayeux
564,25,Bebedouro
565,6,Beberibe
566,6,Bela Cruz
567,12,Bela Vista
568,16,Bela Vista Da Caroba
569,9,Bela Vista De Goiás
570,13,Bela Vista De Minas
571,10,Bela Vista Do Maranhão
572,16,Bela Vista Do Paraíso
573,18,Bela Vista Do Piauí
574,24,Bela Vista Do Toldo
575,10,Belágua
576,2,Belém
577,15,Belém
578,14,Belém
579,17,Belém De Maria
580,15,Belém Do Brejo Do Cruz
581,18,Belém Do Piauí
582,17,Belém Do São Francisco
583,19,Belford Roxo
584,13,Belmiro Braga
585,24,Belmonte
586,5,Belmonte
587,5,Belo Campo
588,13,Belo Horizonte
589,17,Belo Jardim
590,2,Belo Monte
591,13,Belo Oriente
592,13,Belo Oriente
593,13,Belo Vale
594,14,Belterra
595,18,Beneditinos
596,10,Benedito Leite
597,24,Benedito Novo
598,14,Benevides
599,4,Benjamin Constant
600,21,Benjamin Constant Do Sul
601,25,Bento De Abreu
602,20,Bento Fernandes
603,21,Bento Gonçalves
604,10,Bequimão
605,13,Berilo
606,13,Berizal
607,15,Bernardino Batista
608,25,Bernardino De Campos
609,10,Bernardo Do Mearim
610,27,Bernardo Sayão
611,25,Bertioga
612,18,Bertolínia
613,13,Bertópolis
614,4,Beruri
615,17,Betânia
616,18,Betânia Do Piauí
617,13,Betim
618,17,Bezerros
619,13,Bias Fortes
620,13,Bicas
621,24,Biguaçu
622,25,Bilac
623,13,Biquinhas
624,25,Birigui
625,25,Biritiba-Mirim
626,5,Biritinga
627,16,Bituruna
628,24,Blumenau
629,8,Boa Esperança
630,13,Boa Esperança
631,16,Boa Esperança
632,16,Boa Esperança Do Iguaçu
633,25,Boa Esperança Do Sul
634,18,Boa Hora
635,5,Boa Nova
636,15,Boa Ventura
637,16,Boa Ventura De São Roque
638,6,Boa Viagem
639,15,Boa Vista
640,23,Boa Vista
641,16,Boa Vista Da Aparecida
642,21,Boa Vista Das Missões
643,21,Boa Vista Do Buricá
644,21,Boa Vista Do Cadeado
645,10,Boa Vista Do Gurupi
646,21,Boa Vista Do Incra
647,4,Boa Vista Do Ramos
648,21,Boa Vista Do Sul
649,5,Boa Vista Do Tupim
650,2,Boca Da Mata
651,4,Boca Do Acre
652,18,Bocaina
653,25,Bocaina
654,13,Bocaina De Minas
655,24,Bocaina Do Sul
656,13,Bocaiúva
657,16,Bocaiúva Do Sul
658,20,Bodó
659,17,Bodocó
660,12,Bodoquena
661,25,Bofete
662,25,Boituva
663,17,Bom Conselho
664,13,Bom Despacho
665,19,Bom Jardim
666,10,Bom Jardim
667,17,Bom Jardim
668,24,Bom Jardim Da Serra
669,9,Bom Jardim De Goiás
670,13,Bom Jardim De Minas
671,15,Bom Jesus
672,24,Bom Jesus
673,20,Bom Jesus
674,21,Bom Jesus
675,18,Bom Jesus
676,5,Bom Jesus Da Lapa
677,13,Bom Jesus Da Penha
678,5,Bom Jesus Da Serra
679,10,Bom Jesus Das Selvas
680,9,Bom Jesus De Goiás
681,13,Bom Jesus Do Amparo
682,11,Bom Jesus Do Araguaia
683,13,Bom Jesus Do Galho
684,19,Bom Jesus Do Itabapoana
685,8,Bom Jesus Do Norte
686,24,Bom Jesus Do Oeste
687,16,Bom Jesus Do Sul
688,27,Bom Jesus Do Tocantins
689,14,Bom Jesus Do Tocantins
690,25,Bom Jesus Dos Perdões
691,10,Bom Lugar
692,21,Bom Princípio
693,18,Bom Princípio Do Piauí
694,21,Bom Progresso
695,13,Bom Repouso
696,24,Bom Retiro
697,21,Bom Retiro Do Sul
698,15,Bom Sucesso
699,13,Bom Sucesso
700,16,Bom Sucesso
701,25,Bom Sucesso De Itararé
702,16,Bom Sucesso Do Sul
703,24,Bombinhas
704,23,Bonfim
705,13,Bonfim
706,18,Bonfim Do Piauí
707,9,Bonfinópolis
708,13,Bonfinópolis De Minas
709,5,Boninal
710,14,Bonito
711,12,Bonito
712,5,Bonito
713,17,Bonito
714,13,Bonito De Minas
715,15,Bonito De Santa Fé
716,9,Bonópolis
717,15,Boqueirão
718,21,Boqueirão Do Leão
719,18,Boqueirão Do Piauí
720,26,Boquim
721,5,Boquira
722,25,Borá
723,25,Boracéia
724,4,Borba
725,15,Borborema
726,25,Borborema
727,13,Borda Da Mata
728,25,Borebi
729,16,Borrazópolis
730,21,Bossoroca
731,13,Botelhos
732,25,Botucatu
733,13,Botumirim
734,5,Botuporã
735,24,Botuverá
736,21,Bozano
737,24,Braço Do Norte
738,24,Braço Do Trombudo
739,21,Braga
740,14,Bragança
741,25,Bragança Paulista
742,16,Braganey
743,2,Branquinha
744,13,Brás Pires
745,14,Brasil Novo
746,12,Brasilândia
747,13,Brasilândia De Minas
748,16,Brasilândia Do Sul
749,27,Brasilândia Do Tocantins
750,1,Brasiléia
751,18,Brasileira
752,7,Brasília
753,13,Brasília De Minas
754,11,Brasnorte
755,25,Braúna
756,13,Braúnas
757,9,Brazabrantes
758,13,Brazópolis
759,17,Brejão
